"Journals","Data_timing_FIN","Data_strict_FIN","Data_clarit_FIN","Code_timing_FIN","Code_strict_FIN","Code_clarit_FIN"
"acta amazonica","Not Expected At All","Optional for Authors","4","Not Expected At All","Not Mentioned","NA (no policy)"
"acta ethologica","During Peer Review","On Reviewer Request","4","During Peer Review","On Reviewer Request","1"
"acta oecologica-international journal of ecology","During Peer Review","Mandated","3","During Peer Review","Mandated","2"
"african journal of ecology","After Acceptance (Post-Publication)","Mandated","3","After Acceptance (Post-Publication)","Mandated","3"
"african journal of range & forage science","During Peer Review","Optional for Authors","4","During Peer Review","On Reviewer Request","1"
"african journal of wildlife research","During Peer Review","Encouraged","1","Not Expected At All","Not Mentioned","NA (no policy)"
"agriculture ecosystems & environment","During Peer Review","Mandated","3","During Peer Review","Mandated","2"
"alpine botany","During Peer Review","On Reviewer Request","4","During Peer Review","On Reviewer Request","1"
"ambient science","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"american journal of biological anthropology","After Acceptance (Post-Publication)","Mandated","4","After Acceptance (Post-Publication)","Encouraged","1"
"american naturalist","During Peer Review","Mandated","5","During Peer Review","Mandated","5"
"animal behaviour","During Peer Review","Mandated","3","During Peer Review","Mandated","4"
"animal biotelemetry","During Peer Review","Encouraged","3","During Peer Review","Encouraged","4"
"animal conservation","After Acceptance (Post-Publication)","Mandated","4","After Acceptance (Post-Publication)","Encouraged","3"
"annales zoologici fennici","After Acceptance (Post-Publication)","Optional for Authors","1","Not Expected At All","Not Mentioned","NA (no policy)"
"annals of botany","After Acceptance (Post-Publication)","Encouraged","4","After Acceptance (Post-Publication)","Encouraged","4"
"annual review of animal biosciences","Not Expected At All","Optional for Authors","1","Not Expected At All","Not Mentioned","NA (no policy)"
"annual review of ecology evolution and systematics","Not Expected At All","Optional for Authors","1","Not Expected At All","Not Mentioned","NA (no policy)"
"annual review of entomology","Not Expected At All","Optional for Authors","1","Not Expected At All","Not Mentioned","NA (no policy)"
"anthropocene","During Peer Review","Mandated","3","During Peer Review","Mandated","2"
"anthropological science","After Acceptance (Post-Publication)","Mandated","4","Not Expected At All","Not Mentioned","NA (no policy)"
"aob plants","After Acceptance (Post-Publication)","Mandated","4","After Acceptance (Post-Publication)","Encouraged","1"
"applied ecology and environmental research","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"applied soil ecology","During Peer Review","Mandated","4","During Peer Review","Mandated","3"
"applied vegetation science","After Acceptance (Post-Publication)","Mandated","5","After Acceptance (Post-Publication)","Encouraged","4"
"aquatic ecology","During Peer Review","On Reviewer Request","4","During Peer Review","On Reviewer Request","2"
"aquatic invasions","During Peer Review","Encouraged","3","Not Expected At All","Not Mentioned","NA (no policy)"
"aquatic microbial ecology","Not Expected At All","Not Mentioned","NA (no policy)","After Acceptance (Post-Publication)","Optional for Authors","1"
"aquatic toxicology","During Peer Review","Mandated","4","During Peer Review","Mandated","4"
"arctic science","After Acceptance (Post-Publication)","Optional for Authors","3","Not Expected At All","Not Mentioned","NA (no policy)"
"arid ecosystems","After Acceptance (Post-Publication)","Encouraged","5","After Acceptance (Post-Publication)","Optional for Authors","2"
"austral ecology","After Acceptance (Post-Publication)","Mandated","4","After Acceptance (Post-Publication)","Encouraged","4"
"australian journal of botany","After Acceptance (Post-Publication)","Encouraged","4","After Acceptance (Post-Publication)","Encouraged","1"
"australian systematic botany","After Acceptance (Post-Publication)","Mandated","4","After Acceptance (Post-Publication)","Mandated","1"
"avian conservation and ecology","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"basic and applied ecology","After Acceptance (Post-Publication)","Mandated","2","Not Expected At All","Not Mentioned","NA (no policy)"
"behavior research methods","During Peer Review","Mandated","4","During Peer Review","On Reviewer Request","3"
"behavioral ecology","After Acceptance (Post-Publication)","Mandated","5","After Acceptance (Post-Publication)","Encouraged","4"
"behavioral ecology and sociobiology","During Peer Review","Mandated","5","During Peer Review","On Reviewer Request","2"
"biochemical systematics and ecology","During Peer Review","Mandated","4","During Peer Review","Mandated","4"
"biodiversity and conservation","During Peer Review","On Reviewer Request","4","During Peer Review","On Reviewer Request","2"
"biogeosciences","During Peer Review","Mandated","4","During Peer Review","Mandated","3"
"biological conservation","During Peer Review","Mandated","4","During Peer Review","Mandated","3"
"biological invasions","During Peer Review","On Reviewer Request","4","During Peer Review","On Reviewer Request","1"
"biological journal of the linnean society","After Acceptance (Post-Publication)","Mandated","4","After Acceptance (Post-Publication)","Mandated","4"
"biological reviews","After Acceptance (Post-Publication)","Optional for Authors","1","Not Expected At All","Not Mentioned","NA (no policy)"
"biology letters","During Peer Review","Mandated","5","During Peer Review","Mandated","5"
"biology open","After Acceptance (Post-Publication)","Encouraged","5","After Acceptance (Post-Publication)","Encouraged","2"
"biosystems diversity","During Peer Review","On Reviewer Request","1","Not Expected At All","Not Mentioned","NA (no policy)"
"biotropica","After Acceptance (Post-Publication)","Mandated","4","After Acceptance (Post-Publication)","Encouraged","2"
"bird conservation international","After Acceptance (Post-Publication)","Encouraged","3","After Acceptance (Post-Publication)","Encouraged","2"
"bmc ecology and evolution","During Peer Review","Encouraged","3","During Peer Review","Encouraged","1"
"bulletin of the american museum of natural history","During Peer Review","Mandated","3","Not Expected At All","Not Mentioned","NA (no policy)"
"bulletin of the peabody museum of natural history","During Peer Review","Optional for Authors","1","Not Expected At All","Not Mentioned","NA (no policy)"
"chemistry and ecology","During Peer Review","Optional for Authors","4","During Peer Review","On Reviewer Request","1"
"chemoecology","During Peer Review","On Reviewer Request","4","During Peer Review","On Reviewer Request","1"
"cladistics","During Peer Review","Mandated","5","Not Expected At All","Not Mentioned","NA (no policy)"
"communications biology","During Peer Review","On Reviewer Request","4","During Peer Review","Mandated","4"
"community ecology","During Peer Review","On Reviewer Request","3","During Peer Review","On Reviewer Request","1"
"compost science & utilization","During Peer Review","Optional for Authors","1","During Peer Review","On Reviewer Request","1"
"conservation biology","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"conservation letters","After Acceptance (Post-Publication)","Mandated","4","After Acceptance (Post-Publication)","Encouraged","3"
"conservation physiology","After Acceptance (Post-Publication)","Encouraged","3","After Acceptance (Post-Publication)","Encouraged","5"
"contemporary problems of ecology","After Acceptance (Post-Publication)","Encouraged","1","After Acceptance (Post-Publication)","Optional for Authors","1"
"current biology","After Acceptance (Post-Publication)","Mandated","5","After Acceptance (Post-Publication)","Mandated","5"
"current opinion in insect science","During Peer Review","Mandated","3","During Peer Review","Mandated","2"
"development genes and evolution","During Peer Review","On Reviewer Request","4","During Peer Review","On Reviewer Request","1"
"diversity-basel","During Peer Review","On Reviewer Request","3","After Acceptance (Post-Publication)","Mandated","4"
"diversity and distributions","During Peer Review","Encouraged","5","After Acceptance (Post-Publication)","Encouraged","3"
"eco mont-journal on protected mountain areas research","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"ecography","During Peer Review","Mandated","5","During Peer Review","Mandated","3"
"ecohydrology","After Acceptance (Post-Publication)","Encouraged","4","After Acceptance (Post-Publication)","Encouraged","3"
"ecohydrology & hydrobiology","During Peer Review","Encouraged","4","During Peer Review","Encouraged","4"
"ecologia aplicada","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"ecological applications","During Peer Review","Encouraged","5","During Peer Review","Mandated","5"
"ecological complexity","During Peer Review","Mandated","2","During Peer Review","Mandated","3"
"ecological economics","During Peer Review","Mandated","2","During Peer Review","Mandated","3"
"ecological engineering","During Peer Review","Mandated","2","During Peer Review","Mandated","3"
"ecological indicators","During Peer Review","Mandated","2","During Peer Review","Mandated","2"
"ecological informatics","During Peer Review","Mandated","2","During Peer Review","Mandated","2"
"ecological management & restoration","After Acceptance (Post-Publication)","Encouraged","4","After Acceptance (Post-Publication)","Encouraged","1"
"ecological modelling","During Peer Review","Mandated","2","During Peer Review","Mandated","2"
"ecological monographs","During Peer Review","Encouraged","5","During Peer Review","Mandated","5"
"ecological processes","After Acceptance (Post-Publication)","Encouraged","3","During Peer Review","Encouraged","2"
"ecological questions","During Peer Review","On Reviewer Request","1","Not Expected At All","Not Mentioned","NA (no policy)"
"ecological research","After Acceptance (Post-Publication)","Encouraged","4","After Acceptance (Post-Publication)","Encouraged","1"
"ecological restoration","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"ecology","During Peer Review","Encouraged","5","During Peer Review","Mandated","5"
"ecology and evolution","During Peer Review","Mandated","5","During Peer Review","Mandated","5"
"ecology and society","After Acceptance (Post-Publication)","Optional for Authors","4","After Acceptance (Post-Publication)","Optional for Authors","4"
"ecology letters","During Peer Review","Mandated","5","During Peer Review","Mandated","5"
"ecology, environment and conservation","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"ecoscience","During Peer Review","Optional for Authors","3","During Peer Review","On Reviewer Request","1"
"ecosistemas","After Acceptance (Post-Publication)","Mandated","3","After Acceptance (Post-Publication)","Mandated","1"
"ecosphere","During Peer Review","Encouraged","4","During Peer Review","Mandated","4"
"ecosystem health and sustainability","After Acceptance (Post-Publication)","Mandated","3","After Acceptance (Post-Publication)","Mandated","3"
"ecosystem services","During Peer Review","Mandated","3","During Peer Review","Mandated","2"
"ecosystems","After Acceptance (Post-Publication)","Encouraged","5","After Acceptance (Post-Publication)","Encouraged","5"
"ecotoxicology","During Peer Review","On Reviewer Request","4","During Peer Review","On Reviewer Request","2"
"elife","During Peer Review","Mandated","4","During Peer Review","Mandated","4"
"environmental biology of fishes","During Peer Review","On Reviewer Request","4","During Peer Review","On Reviewer Request","2"
"environmental evidence","During Peer Review","Encouraged","3","During Peer Review","Encouraged","1"
"environmental pollution","During Peer Review","Mandated","3","During Peer Review","Mandated","3"
"ethology","During Peer Review","Mandated","5","During Peer Review","Mandated","3"
"ethology, ecology and evolution","After Acceptance (Post-Publication)","Optional for Authors","1","During Peer Review","On Reviewer Request","1"
"european journal of soil biology","During Peer Review","Mandated","4","During Peer Review","Mandated","2"
"european journal of wildlife research","During Peer Review","On Reviewer Request","2","During Peer Review","On Reviewer Request","1"
"evodevo","During Peer Review","Mandated","5","During Peer Review","Encouraged","2"
"evolution","After Acceptance (Post-Publication)","Mandated","5","After Acceptance (Post-Publication)","Mandated","4"
"evolution & development","After Acceptance (Post-Publication)","Mandated","3","After Acceptance (Post-Publication)","Encouraged","3"
"evolution letters","After Acceptance (Post-Publication)","Mandated","5","After Acceptance (Post-Publication)","Mandated","4"
"evolution medicine and public health","After Acceptance (Post-Publication)","Encouraged","3","After Acceptance (Post-Publication)","Encouraged","2"
"evolutionary applications","After Acceptance (Post-Publication)","Mandated","5","After Acceptance (Post-Publication)","Optional for Authors","1"
"evolutionary bioinformatics","After Acceptance (Post-Publication)","Encouraged","3","Not Expected At All","Not Mentioned","NA (no policy)"
"evolutionary biology","During Peer Review","Mandated","5","During Peer Review","On Reviewer Request","1"
"evolutionary ecology","During Peer Review","On Reviewer Request","5","During Peer Review","On Reviewer Request","1"
"fems microbiology ecology","After Acceptance (Post-Publication)","Encouraged","4","After Acceptance (Post-Publication)","Encouraged","4"
"fire-switzerland","During Peer Review","On Reviewer Request","3","After Acceptance (Post-Publication)","Mandated","3"
"fire ecology","After Acceptance (Post-Publication)","Encouraged","3","During Peer Review","Encouraged","1"
"fish and fisheries","After Acceptance (Post-Publication)","Mandated","3","After Acceptance (Post-Publication)","Encouraged","3"
"flora","During Peer Review","Mandated","4","During Peer Review","Mandated","4"
"folia oecologica","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"food webs","During Peer Review","Encouraged","5","During Peer Review","Encouraged","5"
"freshwater biology","Not Expected At All","Optional for Authors","3","After Acceptance (Post-Publication)","Encouraged","3"
"freshwater science","During Peer Review","On Reviewer Request","2","After Acceptance (Post-Publication)","Optional for Authors","1"
"frontiers in ecology and evolution","After Acceptance (Post-Publication)","Encouraged","2","Not Expected At All","Not Mentioned","NA (no policy)"
"frontiers in ecology and the environment","During Peer Review","Mandated","5","During Peer Review","Mandated","4"
"frontiers in forests and global change","After Acceptance (Post-Publication)","Encouraged","2","Not Expected At All","Not Mentioned","NA (no policy)"
"frontiers in zoology","During Peer Review","Encouraged","3","During Peer Review","Encouraged","3"
"functional ecology","After Acceptance (Post-Publication)","Mandated","5","After Acceptance (Post-Publication)","Encouraged","3"
"fungal diversity","During Peer Review","On Reviewer Request","5","During Peer Review","On Reviewer Request","1"
"fungal ecology","During Peer Review","Encouraged","5","During Peer Review","Encouraged","5"
"genome biology and evolution","After Acceptance (Post-Publication)","Mandated","4","After Acceptance (Post-Publication)","Encouraged","1"
"global change biology","After Acceptance (Post-Publication)","Mandated","4","After Acceptance (Post-Publication)","Mandated","4"
"global ecology and biogeography","During Peer Review","Mandated","5","During Peer Review","Mandated","4"
"global ecology and conservation","During Peer Review","Mandated","3","During Peer Review","Mandated","2"
"global environmental change","During Peer Review","Mandated","3","During Peer Review","Mandated","2"
"heredity","During Peer Review","Encouraged","4","During Peer Review","On Reviewer Request","3"
"human-wildlife interactions","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"human ecology","During Peer Review","On Reviewer Request","4","During Peer Review","On Reviewer Request","1"
"ideas in ecology and evolution","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"insect systematics & evolution","After Acceptance (Post-Publication)","Encouraged","3","Not Expected At All","Not Mentioned","NA (no policy)"
"integrative organismal biology","After Acceptance (Post-Publication)","Encouraged","4","After Acceptance (Post-Publication)","Encouraged","4"
"interciencia","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"international journal for parasitology-parasites and wildlife","During Peer Review","Encouraged","3","During Peer Review","Encouraged","3"
"international journal of ecology & development","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"international journal of sustainable development and world ecology","During Peer Review","Optional for Authors","4","During Peer Review","On Reviewer Request","2"
"invertebrate systematics","After Acceptance (Post-Publication)","Encouraged","3","After Acceptance (Post-Publication)","Encouraged","2"
"isme journal","During Peer Review","On Reviewer Request","3","During Peer Review","On Reviewer Request","1"
"israel journal of ecology & evolution","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"journal for nature conservation","During Peer Review","Mandated","2","During Peer Review","Mandated","2"
"journal of animal ecology","After Acceptance (Post-Publication)","Mandated","3","After Acceptance (Post-Publication)","Encouraged","1"
"journal of applied ecology","After Acceptance (Post-Publication)","Mandated","3","After Acceptance (Post-Publication)","Encouraged","2"
"journal of arid environments","During Peer Review","Mandated","3","During Peer Review","Mandated","2"
"journal of avian biology","During Peer Review","Mandated","4","During Peer Review","Mandated","1"
"journal of biogeography","During Peer Review","Mandated","4","During Peer Review","Mandated","1"
"journal of biological dynamics","During Peer Review","Optional for Authors","4","During Peer Review","On Reviewer Request","1"
"journal of chemical ecology","During Peer Review","On Reviewer Request","2","During Peer Review","On Reviewer Request","1"
"journal of comparative physiology b: biochemical, systemic and environmental physiology","During Peer Review","On Reviewer Request","3","During Peer Review","On Reviewer Request","1"
"journal of ecology","After Acceptance (Post-Publication)","Mandated","4","After Acceptance (Post-Publication)","Encouraged","3"
"journal of evolutionary biochemistry and physiology","After Acceptance (Post-Publication)","Encouraged","2","After Acceptance (Post-Publication)","Optional for Authors","1"
"journal of evolutionary biology","During Peer Review","Mandated","5","During Peer Review","Encouraged","5"
"journal of experimental biology","During Peer Review","Encouraged","3","After Acceptance (Post-Publication)","Encouraged","5"
"journal of experimental marine biology and ecology","During Peer Review","Mandated","3","During Peer Review","Mandated","3"
"journal of experimental zoology part b-molecular and developmental evolution","After Acceptance (Post-Publication)","Mandated","3","After Acceptance (Post-Publication)","Encouraged","2"
"journal of fish and wildlife management","During Peer Review","Mandated","4","Not Expected At All","Not Mentioned","NA (no policy)"
"journal of freshwater ecology","During Peer Review","Mandated","5","During Peer Review","On Reviewer Request","3"
"journal of heredity","After Acceptance (Post-Publication)","Mandated","4","After Acceptance (Post-Publication)","Encouraged","4"
"journal of human evolution","During Peer Review","Optional for Authors","2","During Peer Review","Optional for Authors","2"
"journal of molecular evolution","During Peer Review","On Reviewer Request","4","During Peer Review","On Reviewer Request","1"
"journal of natural history","During Peer Review","Optional for Authors","4","During Peer Review","On Reviewer Request","1"
"journal of plant biology","Not Expected At All","Optional for Authors","3","Not Expected At All","Not Mentioned","NA (no policy)"
"journal of plant ecology","After Acceptance (Post-Publication)","Encouraged","3","After Acceptance (Post-Publication)","Encouraged","3"
"journal of soil and water conservation","During Peer Review","Encouraged","1","Not Expected At All","Not Mentioned","NA (no policy)"
"journal of systematic palaeontology","During Peer Review","Optional for Authors","3","During Peer Review","On Reviewer Request","1"
"journal of thermal biology","During Peer Review","Encouraged","3","During Peer Review","Encouraged","2"
"journal of tropical ecology","After Acceptance (Post-Publication)","Encouraged","3","After Acceptance (Post-Publication)","Encouraged","3"
"journal of vegetation science","After Acceptance (Post-Publication)","Mandated","3","After Acceptance (Post-Publication)","Encouraged","3"
"journal of wildlife and biodiversity","During Peer Review","On Reviewer Request","2","Not Expected At All","Not Mentioned","NA (no policy)"
"journal of wildlife management","After Acceptance (Post-Publication)","Mandated","2","After Acceptance (Post-Publication)","Mandated","1"
"journal of zoological systematics and evolutionary research","After Acceptance (Post-Publication)","Optional for Authors","2","After Acceptance (Post-Publication)","Optional for Authors","1"
"landscape and ecological engineering","During Peer Review","On Reviewer Request","2","During Peer Review","On Reviewer Request","1"
"landscape and urban planning","During Peer Review","Mandated","2","During Peer Review","Mandated","2"
"landscape ecology","During Peer Review","On Reviewer Request","2","During Peer Review","On Reviewer Request","1"
"limnology and oceanography","After Acceptance (Post-Publication)","Mandated","3","After Acceptance (Post-Publication)","Encouraged","2"
"mammal review","After Acceptance (Post-Publication)","Mandated","2","After Acceptance (Post-Publication)","Encouraged","1"
"marine biology","During Peer Review","On Reviewer Request","4","During Peer Review","On Reviewer Request","1"
"marine biology research","During Peer Review","Optional for Authors","4","During Peer Review","On Reviewer Request","1"
"marine ecology progress series","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"methods in ecology and evolution","During Peer Review","Encouraged","4","During Peer Review","Encouraged","4"
"microbial ecology","During Peer Review","On Reviewer Request","4","During Peer Review","On Reviewer Request","3"
"molecular biology and evolution","After Acceptance (Post-Publication)","Mandated","4","After Acceptance (Post-Publication)","Mandated","3"
"molecular ecology","After Acceptance (Post-Publication)","Mandated","4","After Acceptance (Post-Publication)","Encouraged","4"
"molecular ecology resources","After Acceptance (Post-Publication)","Mandated","4","After Acceptance (Post-Publication)","Encouraged","4"
"molecular phylogenetics and evolution","During Peer Review","Encouraged","3","During Peer Review","Encouraged","2"
"movement ecology","During Peer Review","Encouraged","4","During Peer Review","Encouraged","2"
"natural areas journal","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"nature","During Peer Review","On Reviewer Request","5","During Peer Review","Mandated","5"
"nature climate change","During Peer Review","On Reviewer Request","4","During Peer Review","Mandated","4"
"nature communications","During Peer Review","On Reviewer Request","5","During Peer Review","Mandated","4"
"nature ecology & evolution","During Peer Review","On Reviewer Request","5","During Peer Review","Mandated","5"
"neobiota","After Acceptance (Post-Publication)","Encouraged","4","Not Expected At All","Not Mentioned","NA (no policy)"
"new phytologist","After Acceptance (Post-Publication)","Mandated","4","After Acceptance (Post-Publication)","Encouraged","3"
"new zealand journal of ecology","After Acceptance (Post-Publication)","Optional for Authors","3","After Acceptance (Post-Publication)","Optional for Authors","3"
"northeastern naturalist","After Acceptance (Post-Publication)","Optional for Authors","1","Not Expected At All","Not Mentioned","NA (no policy)"
"northwest science","Not Expected At All","Optional for Authors","1","Not Expected At All","Not Mentioned","NA (no policy)"
"oecologia","During Peer Review","On Reviewer Request","4","During Peer Review","On Reviewer Request","3"
"oikos","During Peer Review","Mandated","5","During Peer Review","Mandated","1"
"organisms diversity & evolution","During Peer Review","On Reviewer Request","4","During Peer Review","On Reviewer Request","3"
"oryx","During Peer Review","Optional for Authors","4","After Acceptance (Post-Publication)","Encouraged","4"
"paleobiology","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"pedobiologia","During Peer Review","Mandated","2","During Peer Review","Mandated","2"
"people and nature","After Acceptance (Post-Publication)","Mandated","4","After Acceptance (Post-Publication)","Encouraged","4"
"perspectives in plant ecology evolution and systematics","During Peer Review","Mandated","3","During Peer Review","Mandated","2"
"philosophical transactions of the royal society b: biological sciences","During Peer Review","Mandated","4","During Peer Review","Mandated","4"
"phytocoenologia","After Acceptance (Post-Publication)","Encouraged","4","Not Expected At All","Not Mentioned","NA (no policy)"
"plankton and benthos research","After Acceptance (Post-Publication)","Encouraged","3","Not Expected At All","Not Mentioned","NA (no policy)"
"plant biology","After Acceptance (Post-Publication)","Encouraged","4","After Acceptance (Post-Publication)","Encouraged","2"
"plant ecology","During Peer Review","On Reviewer Request","4","During Peer Review","On Reviewer Request","2"
"plant ecology and diversity","During Peer Review","Optional for Authors","4","During Peer Review","On Reviewer Request","1"
"plant physiology","During Peer Review","Mandated","5","After Acceptance (Post-Publication)","Encouraged","1"
"plant species biology","After Acceptance (Post-Publication)","Encouraged","4","After Acceptance (Post-Publication)","Encouraged","4"
"plant systematics and evolution","During Peer Review","On Reviewer Request","4","During Peer Review","On Reviewer Request","4"
"plants people planet","During Peer Review","Optional for Authors","3","After Acceptance (Post-Publication)","Mandated","3"
"plos biology","After Acceptance (Post-Publication)","Mandated","5","After Acceptance (Post-Publication)","Mandated","4"
"polar biology","During Peer Review","On Reviewer Request","4","During Peer Review","On Reviewer Request","4"
"polar record","After Acceptance (Post-Publication)","Encouraged","2","After Acceptance (Post-Publication)","Encouraged","1"
"polar research","During Peer Review","Optional for Authors","1","Not Expected At All","Not Mentioned","NA (no policy)"
"polar science","During Peer Review","Mandated","4","During Peer Review","Mandated","2"
"polish journal of ecology","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"polish polar research","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"population ecology","After Acceptance (Post-Publication)","Encouraged","4","After Acceptance (Post-Publication)","Encouraged","4"
"proceedings of the academy of natural sciences of philadelphia","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"proceedings of the linnean society of new south wales","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"proceedings of the national academy of sciences: usa","During Peer Review","On Reviewer Request","5","During Peer Review","On Reviewer Request","5"
"proceedings of the royal society b-biological sciences","During Peer Review","Mandated","5","During Peer Review","Mandated","5"
"rangeland ecology & management","During Peer Review","Encouraged","4","During Peer Review","Encouraged","4"
"rangeland journal","After Acceptance (Post-Publication)","Encouraged","4","After Acceptance (Post-Publication)","Encouraged","3"
"regional studies in marine science","During Peer Review","Mandated","3","During Peer Review","Mandated","3"
"remote sensing","During Peer Review","On Reviewer Request","2","After Acceptance (Post-Publication)","Mandated","2"
"remote sensing in ecology and conservation","After Acceptance (Post-Publication)","Mandated","3","After Acceptance (Post-Publication)","Encouraged","3"
"restoration ecology","After Acceptance (Post-Publication)","Mandated","3","After Acceptance (Post-Publication)","Encouraged","1"
"reviews in fish biology and fisheries","During Peer Review","On Reviewer Request","3","During Peer Review","On Reviewer Request","1"
"revista chilena de historia natural","During Peer Review","Encouraged","1","During Peer Review","Encouraged","1"
"russian journal of biological invasions","After Acceptance (Post-Publication)","Encouraged","2","After Acceptance (Post-Publication)","Optional for Authors","2"
"russian journal of ecology","After Acceptance (Post-Publication)","Encouraged","2","After Acceptance (Post-Publication)","Optional for Authors","2"
"science","During Peer Review","Mandated","4","After Acceptance (Post-Publication)","Encouraged","4"
"science advances","During Peer Review","Mandated","4","After Acceptance (Post-Publication)","Encouraged","4"
"science of the total environment","During Peer Review","Mandated","5","During Peer Review","Mandated","3"
"scientific reports","During Peer Review","Mandated","4","During Peer Review","On Reviewer Request","3"
"soil ecology letters","During Peer Review","On Reviewer Request","4","During Peer Review","On Reviewer Request","1"
"south of russia-ecology development","During Peer Review","On Reviewer Request","1","Not Expected At All","Not Mentioned","NA (no policy)"
"southeastern naturalist","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"southwestern naturalist","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"systematic biology","During Peer Review","Mandated","5","Not Expected At All","Not Mentioned","NA (no policy)"
"systematic botany","After Acceptance (Post-Publication)","Mandated","3","Not Expected At All","Not Mentioned","NA (no policy)"
"systematic entomology","During Peer Review","Mandated","5","During Peer Review","Mandated","1"
"taxon","During Peer Review","Encouraged","5","During Peer Review","Optional for Authors","1"
"theoretical and applied ecology","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"theoretical ecology","During Peer Review","On Reviewer Request","5","During Peer Review","On Reviewer Request","1"
"theoretical population biology","During Peer Review","Mandated","2","During Peer Review","Mandated","2"
"trends in ecology & evolution","Not Expected At All","Optional for Authors","4","Not Expected At All","Not Mentioned","NA (no policy)"
"tropical ecology","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"tropics","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"urban ecosystems","During Peer Review","On Reviewer Request","4","During Peer Review","On Reviewer Request","1"
"vestnik tomskogo gosudarstvennogo universiteta-biologiya","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"vie et milieu-life and environment","Not Expected At All","Not Mentioned","NA (no policy)","Not Expected At All","Not Mentioned","NA (no policy)"
"web ecology","After Acceptance (Post-Publication)","Encouraged","4","After Acceptance (Post-Publication)","Encouraged","4"
"western north american naturalist","After Acceptance (Post-Publication)","Optional for Authors","1","Not Expected At All","Not Mentioned","NA (no policy)"
"wetlands","During Peer Review","On Reviewer Request","4","During Peer Review","On Reviewer Request","1"
"wetlands ecology and management","During Peer Review","On Reviewer Request","5","During Peer Review","On Reviewer Request","1"
"wildlife biology","During Peer Review","Mandated","5","During Peer Review","Mandated","4"
"wildlife monographs","After Acceptance (Post-Publication)","Mandated","4","After Acceptance (Post-Publication)","Mandated","1"
"wildlife research","After Acceptance (Post-Publication)","Encouraged","5","After Acceptance (Post-Publication)","Encouraged","4"
"zoologica scripta","After Acceptance (Post-Publication)","Encouraged","3","Not Expected At All","Not Mentioned","NA (no policy)"
