subset_number,Journal,assigned_to_email,notes
36,remote sensing in ecology and conservation,[redacted],
36,restoration ecology,[redacted],
36,reviews in fish biology and fisheries,[redacted],
36,revista chilena de historia natural,[redacted],
36,russian journal of biological invasions,[redacted],
36,russian journal of ecology,[redacted],
37,science,[redacted],
37,science advances,[redacted],
37,science of the total environment,[redacted],
37,scientific reports,[redacted],
37,soil ecology letters,[redacted],
37,south of russia-ecology development,[redacted],
37,southeastern naturalist,[redacted],
37,southwestern naturalist,[redacted],
37,systematic biology,[redacted],
37,systematic botany,[redacted],
37,systematic entomology,[redacted],
37,taxon,[redacted],
37,theoretical and applied ecology,[redacted],
37,theoretical ecology,[redacted],
37,theoretical population biology,[redacted],
38,trends in ecology & evolution,[redacted],
38,tropical ecology,[redacted],
38,tropics,[redacted],
38,urban ecosystems,[redacted],
38,vestnik tomskogo gosudarstvennogo universiteta-biologiya,[redacted],
38,vie et milieu-life and environment,[redacted],
38,web ecology,[redacted],
38,western north american naturalist,[redacted],
38,wetlands,[redacted],
38,wetlands ecology and management,[redacted],
38,wildlife biology,[redacted],
38,wildlife monographs,[redacted],
38,wildlife research,[redacted],
38,zoologica scripta,[redacted],
39,acta amazonica,[redacted],
39,acta ethologica,[redacted],
39,acta oecologica-international journal of ecology,[redacted],
39,advances in ecological research,[redacted],
39,african journal of ecology,[redacted],
39,african journal of range & forage science,[redacted],
39,african journal of wildlife research,[redacted],
39,agriculture ecosystems & environment,[redacted],
39,alpine botany,[redacted],
39,ambient science,[redacted],
39,american journal of physical anthropology,[redacted],
39,american midland naturalist,[redacted],
39,american naturalist,[redacted],
39,animal behaviour,[redacted],
39,animal biotelemetry,[redacted],
40,animal conservation,[redacted],
40,annales zoologici fennici,[redacted],
40,annals of botany,[redacted],
40,annual review of animal biosciences,[redacted],
40,annual review of ecology evolution and systematics,[redacted],
40,annual review of entomology,[redacted],
40,anthropocene,[redacted],
40,anthropological science,[redacted],
40,aob plants,[redacted],
40,applied ecology and environmental research,[redacted],
40,applied soil ecology,[redacted],
40,applied vegetation science,[redacted],
40,aquatic ecology,[redacted],
40,aquatic invasions,[redacted],
40,aquatic microbial ecology,[redacted],
41,aquatic toxicology,[redacted],
41,arctic science,[redacted],
41,arid ecosystems,[redacted],
41,austral ecology,[redacted],
41,australian journal of botany,[redacted],
41,australian systematic botany,[redacted],
41,avian conservation and ecology,[redacted],
41,basic and applied ecology,[redacted],
41,behavior research methods,[redacted],
41,behavioral ecology,[redacted],
41,behavioral ecology and sociobiology,[redacted],
41,biochemical systematics and ecology,[redacted],
41,biodiversity and conservation,[redacted],
41,biogeosciences,[redacted],
41,biological conservation,[redacted],
42,biological invasions,[redacted],
42,biological journal of the linnean society,[redacted],
42,biological reviews,[redacted],
42,biology letters,[redacted],
42,biology open,[redacted],
42,biosystems diversity,[redacted],
42,biotropica,[redacted],
42,bird conservation international,[redacted],
42,bmc ecology,[redacted],
42,bmc ecology and evolution,[redacted],
42,bmc evolutionary biology,[redacted],
42,bulletin of the american museum of natural history,[redacted],
42,bulletin of the peabody museum of natural history,[redacted],
42,chemistry and ecology,[redacted],
42,chemoecology,[redacted],
43,cladistics,[redacted],
43,communications biology,[redacted],
43,community ecology,[redacted],
43,compost science & utilization,[redacted],
43,conservation biology,[redacted],
43,conservation letters,[redacted],
43,conservation physiology,[redacted],
43,contemporary problems of ecology,[redacted],
43,current biology,[redacted],
43,current opinion in insect science,[redacted],
43,development genes and evolution,[redacted],
43,diversity and distributions,[redacted],
43,diversity-basel,[redacted],
43,eco mont-journal on protected mountain areas research,[redacted],
43,ecography,[redacted],
44,ecohydrology,[redacted],
44,ecohydrology & hydrobiology,[redacted],
44,ecologia aplicada,[redacted],
44,ecological applications,[redacted],
44,ecological complexity,[redacted],
44,ecological economics,[redacted],
44,ecological engineering,[redacted],
44,ecological indicators,[redacted],
44,ecological informatics,[redacted],
44,ecological management & restoration,[redacted],
44,ecological modelling,[redacted],
44,ecological monographs,[redacted],
44,ecological processes,[redacted],
44,ecological questions,[redacted],
44,ecological research,[redacted],
45,ecological restoration,[redacted],
45,ecology,[redacted],
45,ecology and evolution,[redacted],
45,ecology and society,[redacted],
45,ecology letters,[redacted],
45,"ecology, environment and conservation",[redacted],
45,ecoscience,[redacted],
45,ecosistemas,[redacted],
45,ecosphere,[redacted],
45,ecosystem health and sustainability,[redacted],
45,ecosystem services,[redacted],
45,ecosystems,[redacted],
45,ecotoxicology,[redacted],
45,elife,[redacted],
45,environmental biology of fishes,[redacted],
46,environmental evidence,[redacted],
46,environmental pollution,[redacted],
46,ethology,[redacted],
46,"ethology, ecology and evolution",[redacted],
46,european journal of soil biology,[redacted],
46,european journal of wildlife research,[redacted],
46,evodevo,[redacted],
46,evolution,[redacted],
46,evolution & development,[redacted],
46,evolution and development,[redacted],
46,evolution letters,[redacted],
46,evolution medicine and public health,[redacted],
46,evolutionary applications,[redacted],
46,evolutionary bioinformatics,[redacted],
46,evolutionary biology,[redacted],
47,evolutionary ecology,[redacted],
47,evolutionary ecology research,[redacted],
47,fems microbiology ecology,[redacted],
47,fire ecology,[redacted],
47,fire-switzerland,[redacted],
47,fish and fisheries,[redacted],
47,flora,[redacted],
47,folia oecologica,[redacted],
47,food webs,[redacted],
47,freshwater biology,[redacted],
47,freshwater science,[redacted],
47,frontiers in ecology and evolution,[redacted],
47,frontiers in ecology and the environment,[redacted],
47,frontiers in forests and global change,[redacted],
47,frontiers in zoology,[redacted],
48,functional ecology,[redacted],
48,fungal diversity,[redacted],
48,fungal ecology,[redacted],
48,genome biology and evolution,[redacted],
48,global change biology,[redacted],
48,global ecology and biogeography,[redacted],
48,global ecology and conservation,[redacted],
48,global environmental change,[redacted],
48,heredity,[redacted],
48,human ecology,[redacted],
48,human-wildlife interactions,[redacted],
48,ideas in ecology and evolution,[redacted],
48,insect systematics & evolution,[redacted],
48,integrative organismal biology,[redacted],
48,interciencia,[redacted],
49,international journal for parasitology-parasites and wildlife,[redacted],
49,international journal of ecology & development,[redacted],
49,international journal of sustainable development and world ecology,[redacted],
49,invertebrate systematics,[redacted],
49,isme journal,[redacted],
49,israel journal of ecology & evolution,[redacted],
49,journal for nature conservation,[redacted],
49,journal of animal ecology,[redacted],
49,journal of applied ecology,[redacted],
49,journal of arid environments,[redacted],
49,journal of avian biology,[redacted],
49,journal of biogeography,[redacted],
49,journal of biological dynamics,[redacted],
49,journal of chemical ecology,[redacted],
49,"journal of comparative physiology b: biochemical, systemic and environmental physiology",[redacted],
50,journal of ecology,[redacted],
50,journal of evolutionary biochemistry and physiology,[redacted],
50,journal of evolutionary biology,[redacted],
50,journal of experimental biology,[redacted],
50,journal of experimental marine biology and ecology,[redacted],
50,journal of experimental zoology part b-molecular and developmental evolution,[redacted],
50,journal of fish and wildlife management,[redacted],
50,journal of freshwater ecology,[redacted],
50,journal of heredity,[redacted],
50,journal of human evolution,[redacted],
50,journal of molecular evolution,[redacted],
50,journal of natural history,[redacted],
50,journal of plant biology,[redacted],
50,journal of plant ecology,[redacted],
50,journal of soil and water conservation,[redacted],
51,journal of systematic palaeontology,[redacted],
51,journal of thermal biology,[redacted],
51,journal of tropical ecology,[redacted],
51,journal of vegetation science,[redacted],
51,journal of wildlife and biodiversity,[redacted],
51,journal of wildlife management,[redacted],
51,journal of zoological systematics and evolutionary research,[redacted],
51,landscape and ecological engineering,[redacted],
51,landscape and urban planning,[redacted],
51,landscape ecology,[redacted],
51,limnology and oceanography,[redacted],
51,mammal review,[redacted],
51,marine biology,[redacted],
51,marine biology research,[redacted],
51,marine ecology progress series,[redacted],
52,methods in ecology and evolution,[redacted],
52,microbial ecology,[redacted],
52,molecular biology and evolution,[redacted],
52,molecular ecology,[redacted],
52,molecular ecology resources,[redacted],
52,molecular phylogenetics and evolution,[redacted],
52,movement ecology,[redacted],
52,natural areas journal,[redacted],
52,natural history,[redacted],
52,nature,[redacted],
52,nature climate change,[redacted],
52,nature communications,[redacted],
52,nature ecology & evolution,[redacted],
52,nature ecology and evolution,[redacted],
52,neobiota,[redacted],
53,neotropical biodiversity,[redacted],
53,new phytologist,[redacted],
53,new zealand journal of ecology,[redacted],
53,northeastern naturalist,[redacted],
53,northwest science,[redacted],
53,oecologia,[redacted],
53,oikos,[redacted],
53,organisms diversity & evolution,[redacted],
53,oryx,[redacted],
53,paleobiology,[redacted],
53,pedobiologia,[redacted],
53,people and nature,[redacted],
53,perspectives in plant ecology evolution and systematics,[redacted],
53,philosophical transactions of the royal society b: biological sciences,[redacted],
53,phytocoenologia,[redacted],
54,"plankton biology and ecology ( ""plankton biology and ecology"" has changed name to ""plankton and benthos research"" in 2006)",[redacted],
54,plant biology,[redacted],
54,plant ecology,[redacted],
54,plant ecology and diversity,[redacted],
54,plant physiology,[redacted],
54,plant species biology,[redacted],
54,plant systematics and evolution,[redacted],
54,plants people planet,[redacted],
54,plos biology,[redacted],
54,polar biology,[redacted],
54,polar record,[redacted],
54,polar research,[redacted],
54,polar science,[redacted],
54,polish journal of ecology,[redacted],
54,polish polar research,[redacted],
55,population ecology,[redacted],
55,proceedings of the academy of natural sciences of philadelphia,[redacted],
55,proceedings of the linnean society of new south wales,[redacted],
55,proceedings of the national academy of sciences: usa,[redacted],
55,proceedings of the royal society b-biological sciences,[redacted],
55,rangeland ecology & management,[redacted],
55,rangeland journal,[redacted],
55,regional studies in marine science,[redacted],
55,remote sensing,[redacted],
55,remote sensing in ecology and conservation,[redacted],
55,restoration ecology,[redacted],
55,reviews in fish biology and fisheries,[redacted],
55,revista chilena de historia natural,[redacted],
55,russian journal of biological invasions,[redacted],
55,russian journal of ecology,[redacted],
56,science,[redacted],
56,science advances,[redacted],
56,science of the total environment,[redacted],
56,scientific reports,[redacted],
56,soil ecology letters,[redacted],
56,south of russia-ecology development,[redacted],
56,southeastern naturalist,[redacted],
56,southwestern naturalist,[redacted],
56,systematic biology,[redacted],
56,systematic botany,[redacted],
56,systematic entomology,[redacted],
56,taxon,[redacted],
56,theoretical and applied ecology,[redacted],
56,theoretical ecology,[redacted],
56,theoretical population biology,[redacted],
57,trends in ecology & evolution,[redacted],
57,tropical ecology,[redacted],
57,tropics,[redacted],
57,urban ecosystems,[redacted],
57,vestnik tomskogo gosudarstvennogo universiteta-biologiya,[redacted],
57,vie et milieu-life and environment,[redacted],
57,web ecology,[redacted],
57,western north american naturalist,[redacted],
57,wetlands,[redacted],
57,wetlands ecology and management,[redacted],
57,wildlife biology,[redacted],
57,wildlife monographs,[redacted],
57,wildlife research,[redacted],
57,zoologica scripta,[redacted],
58,acta amazonica,,
58,acta ethologica,,
58,acta oecologica-international journal of ecology,,
58,advances in ecological research,,
58,african journal of ecology,,
58,african journal of range & forage science,,
58,african journal of wildlife research,,
58,agriculture ecosystems & environment,,
58,alpine botany,,
58,ambient science,,
58,american journal of physical anthropology,,
58,american midland naturalist,,
58,american naturalist,,
58,animal behaviour,,
58,animal biotelemetry,,
59,animal conservation,,
59,annales zoologici fennici,,
59,annals of botany,,
59,annual review of animal biosciences,,
59,annual review of ecology evolution and systematics,,
59,annual review of entomology,,
59,anthropocene,,
59,anthropological science,,
59,aob plants,,
59,applied ecology and environmental research,,
59,applied soil ecology,,
59,applied vegetation science,,
59,aquatic ecology,,
59,aquatic invasions,,
59,aquatic microbial ecology,,
60,aquatic toxicology,,
60,arctic science,,
60,arid ecosystems,,
60,austral ecology,,
60,australian journal of botany,,
60,australian systematic botany,,
60,avian conservation and ecology,,
60,basic and applied ecology,,
60,behavior research methods,,
60,behavioral ecology,,
60,behavioral ecology and sociobiology,,
60,biochemical systematics and ecology,,
60,biodiversity and conservation,,
60,biogeosciences,,
60,biological conservation,,
61,biological invasions,,
61,biological journal of the linnean society,,
61,biological reviews,,
61,biology letters,,
61,biology open,,
61,biosystems diversity,,
61,biotropica,,
61,bird conservation international,,
61,bmc ecology,NA,
61,bmc ecology and evolution,,
61,bmc evolutionary biology,NA,
61,bulletin of the american museum of natural history,,
61,bulletin of the peabody museum of natural history,,
61,chemistry and ecology,,
61,chemoecology,,
62,cladistics,,
62,communications biology,,
62,community ecology,,
62,compost science & utilization,,
62,conservation biology,,
62,conservation letters,,
62,conservation physiology,,
62,contemporary problems of ecology,,
62,current biology,,
62,current opinion in insect science,,
62,development genes and evolution,,
62,diversity and distributions,,
62,diversity-basel,,
62,eco mont-journal on protected mountain areas research,,
62,ecography,,
63,ecohydrology,,
63,ecohydrology & hydrobiology,,
63,ecologia aplicada,,
63,ecological applications,,
63,ecological complexity,,
63,ecological economics,,
63,ecological engineering,,
63,ecological indicators,,
63,ecological informatics,,
63,ecological management & restoration,,
63,ecological modelling,,
63,ecological monographs,,
63,ecological processes,,
63,ecological questions,,
63,ecological research,,
64,ecological restoration,,
64,ecology,,
64,ecology and evolution,,
64,ecology and society,,
64,ecology letters,,
64,"ecology, environment and conservation",,
64,ecoscience,,
64,ecosistemas,,
64,ecosphere,,
64,ecosystem health and sustainability,,
64,ecosystem services,,
64,ecosystems,,
64,ecotoxicology,,
64,elife,,
64,environmental biology of fishes,,
65,environmental evidence,,
65,environmental pollution,,
65,ethology,,
65,"ethology, ecology and evolution",,
65,european journal of soil biology,,
65,european journal of wildlife research,,
65,evodevo,,
65,evolution,,
65,evolution & development,,
65,evolution and development,NA,
65,evolution letters,,
65,evolution medicine and public health,,
65,evolutionary applications,,
65,evolutionary bioinformatics,,
65,evolutionary biology,,
66,evolutionary ecology,,
66,evolutionary ecology research,,
66,fems microbiology ecology,,
66,fire ecology,,
66,fire-switzerland,,
66,fish and fisheries,,
66,flora,,
66,folia oecologica,,
66,food webs,,
66,freshwater biology,,
66,freshwater science,,
66,frontiers in ecology and evolution,,
66,frontiers in ecology and the environment,,
66,frontiers in forests and global change,,
66,frontiers in zoology,,
67,functional ecology,,
67,fungal diversity,,
67,fungal ecology,,
67,genome biology and evolution,,
67,global change biology,,
67,global ecology and biogeography,,
67,global ecology and conservation,,
67,global environmental change,,
67,heredity,,
67,human ecology,,
67,human-wildlife interactions,,
67,ideas in ecology and evolution,,
67,insect systematics & evolution,,
67,integrative organismal biology,,
67,interciencia,,
68,international journal for parasitology-parasites and wildlife,,
68,international journal of ecology & development,,
68,international journal of sustainable development and world ecology,,
68,invertebrate systematics,,
68,isme journal,,
68,israel journal of ecology & evolution,,
68,journal for nature conservation,,
68,journal of animal ecology,,
68,journal of applied ecology,,
68,journal of arid environments,,
68,journal of avian biology,,
68,journal of biogeography,,
68,journal of biological dynamics,,
68,journal of chemical ecology,,
68,"journal of comparative physiology b: biochemical, systemic and environmental physiology",,
69,journal of ecology,,
69,journal of evolutionary biochemistry and physiology,,
69,journal of evolutionary biology,,
69,journal of experimental biology,,
69,journal of experimental marine biology and ecology,,
69,journal of experimental zoology part b-molecular and developmental evolution,,
69,journal of fish and wildlife management,,
69,journal of freshwater ecology,,
69,journal of heredity,,
69,journal of human evolution,,
69,journal of molecular evolution,,
69,journal of natural history,,
69,journal of plant biology,,
69,journal of plant ecology,,
69,journal of soil and water conservation,,
70,journal of systematic palaeontology,,
70,journal of thermal biology,,
70,journal of tropical ecology,,
70,journal of vegetation science,,
70,journal of wildlife and biodiversity,,
70,journal of wildlife management,,
70,journal of zoological systematics and evolutionary research,,
70,landscape and ecological engineering,,
70,landscape and urban planning,,
70,landscape ecology,,
70,limnology and oceanography,,
70,mammal review,,
70,marine biology,,
70,marine biology research,,
70,marine ecology progress series,,
71,methods in ecology and evolution,,
71,microbial ecology,,
71,molecular biology and evolution,,
71,molecular ecology,,
71,molecular ecology resources,,
71,molecular phylogenetics and evolution,,
71,movement ecology,,
71,natural areas journal,,
71,natural history,NA,
71,nature,,
71,nature climate change,,
71,nature communications,,
71,nature ecology & evolution,,
71,nature ecology and evolution,NA,
71,neobiota,,
72,neotropical biodiversity,,
72,new phytologist,,
72,new zealand journal of ecology,,
72,northeastern naturalist,,
72,northwest science,,
72,oecologia,,
72,oikos,,
72,organisms diversity & evolution,,
72,oryx,,
72,paleobiology,,
72,pedobiologia,,
72,people and nature,,
72,perspectives in plant ecology evolution and systematics,,
72,philosophical transactions of the royal society b: biological sciences,,
72,phytocoenologia,,
73,"plankton biology and ecology ( ""plankton biology and ecology"" has changed name to ""plankton and benthos research"" in 2006)",,
73,plant biology,,
73,plant ecology,,
73,plant ecology and diversity,,
73,plant physiology,,
73,plant species biology,,
73,plant systematics and evolution,,
73,plants people planet,,
73,plos biology,,
73,polar biology,,
73,polar record,,
73,polar research,,
73,polar science,,
73,polish journal of ecology,,
73,polish polar research,,
74,population ecology,,
74,proceedings of the academy of natural sciences of philadelphia,,
74,proceedings of the linnean society of new south wales,,
74,proceedings of the national academy of sciences: usa,,
74,proceedings of the royal society b-biological sciences,,
74,rangeland ecology & management,,
74,rangeland journal,,
74,regional studies in marine science,,
74,remote sensing,,
74,remote sensing in ecology and conservation,,
74,restoration ecology,,
74,reviews in fish biology and fisheries,,
74,revista chilena de historia natural,,
74,russian journal of biological invasions,,
74,russian journal of ecology,,
75,science,,
75,science advances,,
75,science of the total environment,,
75,scientific reports,,
75,soil ecology letters,,
75,south of russia-ecology development,,
75,southeastern naturalist,,
75,southwestern naturalist,,
75,systematic biology,,
75,systematic botany,,
75,systematic entomology,,
75,taxon,,
75,theoretical and applied ecology,,
75,theoretical ecology,,
75,theoretical population biology,,
76,trends in ecology & evolution,,
76,tropical ecology,,
76,tropics,,
76,urban ecosystems,,
76,vestnik tomskogo gosudarstvennogo universiteta-biologiya,,
76,vie et milieu-life and environment,,
76,web ecology,,
76,western north american naturalist,,
76,wetlands,,
76,wetlands ecology and management,,
76,wildlife biology,,
76,wildlife monographs,,
76,wildlife research,,
76,zoologica scripta,,
